,北京,天津,石家庄,呼和浩特,太原,沈阳,大连,长春,哈尔滨,上海,南京,杭州,宁波,合肥,福州,厦门,南昌,济南,青岛,郑州,武汉,长沙,广州,深圳,南宁,海口,唐山,秦皇岛,包头,丹东,锦州,吉林,牡丹江,无锡,扬州,徐州,温州,金华,蚌埠,安庆,泉州,九江,赣州,烟台,济宁,洛阳,平顶山,宜昌,襄樊,岳阳,常德,惠州,湛江,韶关,桂林,北海,三亚,
北京,0,135.76,291.13,481.23,506.91,683.79,836.21,968.74,1237.41,1210.44,1036.38,1269.31,1351.55,1039.14,1897.31,2080.45,1429.32,425.42,661.45,702.36,1147.04,1493.73,2165.16,2227.34,2356.42,2735.87,178.68,290.44,661.84,886.5,474.3,976.51,1438.87,1113.36,983.98,714.23,1586.96,1442.7,896.03,1193.93,2065.02,1296.34,1809.81,734.03,596.66,798.97,833.03,1291.67,1056.79,1326.8,1431.84,2131.6,2570.8,1954,1977.56,2567.52,3015.85,
天津,132.96,0,314.23,608.55,530,666.76,819.18,951.71,1220.38,1083.98,904.05,1142.85,1225.08,945.61,1770.84,1986.92,1366.88,331.88,534.99,709.18,1131.68,1478.36,2149.8,2164.91,2341.05,2720.51,129.93,273.41,789.15,869.47,457.27,959.48,1421.85,986.89,857.51,620.7,1460.5,1316.23,802.49,1100.39,1935.79,1233.9,1747.38,607.56,503.12,805.79,829.06,1276.3,1041.43,1311.43,1416.47,2069.16,2555.44,1928,1962.2,2552.16,3000.48,
石家庄,291.67,315.51,0,574.19,233.51,959.23,1111.66,1244.19,1512.86,1115.09,912.48,1173.96,1256.19,915.24,1782.4,1895.84,1228.58,301.52,641.63,424.5,891.89,1226.76,1898.19,2003.2,2089.45,2468.9,422.41,565.89,754.8,1161.94,749.75,1251.96,1714.32,1018,888.62,590.33,1491.61,1347.34,772.13,1070.03,1880.41,1095.6,1609.08,735.25,472.76,521.11,555.17,1024.23,789.36,1059.37,1164.4,1930.86,2303.83,1686,1710.59,2300.55,2748.88,
呼和浩特,482.9,613.34,573.4,0,522.86,1167.73,1320.15,1408.18,1676.86,1688.02,1513.96,1746.89,1829.13,1523.83,2365.93,2479.38,1812.11,903,1139.04,955.81,1457.25,1745.17,2416.61,2521.61,2607.86,2987.31,662.62,774.38,186.03,1370.44,958.24,1415.95,1878.32,1590.94,1461.56,1191.82,2064.55,1920.28,1373.61,1686.11,2463.95,1679.13,2192.61,1211.61,1074.24,940.1,1062.36,1510.51,1275.64,1598.36,1650.68,2514.4,2822.25,2204,2229.01,2818.97,3267.29,
太原,505.55,529.39,226.47,525.43,0,1173.11,1325.54,1458.07,1726.74,1325.83,1093.08,1356.06,1466.93,1001.24,1843.34,1956.79,1289.53,512.26,852.38,433.23,934.66,1222.58,1894.02,1999.02,2085.27,2464.73,636.29,779.77,589.73,1375.82,963.63,1465.84,1928.2,1228.75,1099.37,778.24,1680.24,1521.72,908.63,1163.53,1941.36,1156.54,1670.02,945.99,683.51,417.51,539.77,987.93,753.05,1075.77,1128.1,1991.81,2299.66,1682,1706.42,2296.38,2744.71,
沈阳,686.68,672.73,959.56,1165.85,1175.33,0,389.28,292.96,561.64,1734.14,1554.21,1793.01,1875.24,1595.59,2421,2636.9,2016.87,981.87,1185.15,1359.17,1781.66,2128.35,2799.78,2814.89,2991.04,3370.49,544.6,407.56,1346.45,252.52,225.92,300.73,763.1,1637.05,1507.67,1270.68,2110.66,1966.39,1452.48,1750.38,2585.95,1883.88,2397.36,1257.72,1153.11,1455.77,1479.05,1926.29,1691.41,1961.42,2066.46,2719.15,3205.42,2579,2612.18,3202.14,3650.47,
大连,836.91,822.96,1109.79,1316.08,1325.56,388.35,0,673.83,942.51,1884.37,1704.44,1943.23,2025.47,1745.82,2571.23,2787.13,2167.1,1132.1,1335.38,1509.4,1931.89,2278.57,2950.01,2965.12,3141.27,3520.72,694.83,557.79,1496.68,303.59,376.14,681.6,1143.97,1787.28,1657.9,1420.91,2260.89,2116.62,1602.7,1900.61,2736.18,2034.11,2547.59,1407.95,1303.34,1606,1629.28,2076.52,1841.64,2111.65,2216.69,2869.38,3355.65,2729,2762.41,3352.37,3800.7,
长春,967.15,953.19,1240.02,1402.82,1455.8,291.84,673.03,0,281.62,2014.6,1834.68,2073.47,2155.7,1876.05,2701.47,2917.36,2297.33,1262.33,1465.61,1639.63,2062.13,2408.81,3080.25,3095.36,3271.5,3650.95,825.07,688.03,1583.42,539.62,506.38,10.38,480.18,1917.52,1788.14,1551.14,2391.12,2246.86,1732.94,2030.84,2866.42,2164.35,2677.83,1538.18,1433.57,1736.24,1759.51,2206.75,1971.88,2241.88,2346.92,2999.61,3485.89,2859,2892.65,3482.61,3930.93,
哈尔滨,1235.62,1221.67,1508.5,1671.3,1724.28,560.32,941.51,280.8,0,2283.08,2103.15,2341.95,2424.18,2144.53,2969.95,3185.84,2565.81,1530.81,1734.09,1908.11,2330.6,2677.29,3348.73,3363.83,3539.98,3919.43,1093.54,956.5,1851.9,808.09,774.86,259.87,347.62,2185.99,2056.61,1819.62,2659.6,2515.33,2001.42,2299.32,3134.89,2432.82,2946.3,1806.66,1702.05,2004.72,2027.99,2475.23,2240.35,2510.36,2615.4,3268.09,3754.37,3128,3161.13,3751.08,4199.41,
上海,1207.35,1081.29,1112.2,1682.95,1325.01,1728.91,1881.33,2013.86,2282.53,0,296.93,177.9,213.73,469.42,789.8,1035.31,770.75,838,718.92,947.68,828.56,1094.76,1497.01,1507.93,1892.13,2067.72,1192.08,1335.56,1863.55,1931.62,1519.42,2021.63,2483.99,133.55,273.23,580.13,479.46,327.8,482.62,479.53,954.75,679.67,1051.24,904.89,784.1,1016.7,890.62,1137.75,1076.64,1028.32,1258.93,1412.18,1902.65,1272,1513.28,2062.48,2347.7,
